appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_ratings,positive_ratings_percent
2600,Vampire: The Masquerade - Bloodlines,2007-03-22,1,Troika Games,Activision,windows,0,Single-player,['Action'],RPG;Vampire;Cult Classic,0,6161,362,350,202,500000-1000000,14.99,6523,94.45040625479074
623940,HIVESWAP: Act 1,2017-09-14,1,"What Pumpkin Games, Inc.","What Pumpkin Games, Inc.",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,"['Adventure', 'Indie', 'RPG']",Adventure;Point & Click;Great Soundtrack,44,2909,171,243,243,200000-500000,5.59,3080,94.44805194805195
493900,Dungeons 3,2017-10-13,1,Realmforge Studios,Kalypso Media Digital,windows;mac;linux,16,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Simulation', 'Strategy']",Strategy;Simulation;RTS,60,8974,528,559,670,200000-500000,29.99,9502,94.44327509997895
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Trading Cards,['Strategy'],Strategy;Medieval;Historical,0,10270,605,469,361,2000000-5000000,0.0,10875,94.43678160919539
50130,Mafia II,2011-03-22,1,2K Czech;Feral Interactive (Mac),2K;Feral Interactive (Mac),windows;mac,18,Single-player;Steam Achievements;Partial Controller Support,['Action'],Action;Open World;Crime,67,31445,1855,1029,988,2000000-5000000,19.99,33300,94.42942942942943
405830,Turok 2: Seeds of Evil,2017-03-16,1,Iguana Entertainment;Nightdive Studios,Nightdive Studios,windows;mac;linux,0,Single-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,"['Action', 'Adventure']",Action;FPS;Classic,14,983,58,0,0,50000-100000,14.99,1041,94.42843419788665
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,1,Relic Entertainment,SEGA,windows,16,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,['Strategy'],Strategy;Warhammer 40K;RTS,0,3485,206,309,340,1000000-2000000,9.99,3691,94.41885667840694
26800,Braid,2009-04-10,1,Number None,Number None,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,"['Casual', 'Indie', 'Strategy']",Puzzle;Platformer;Indie,12,6529,386,178,251,1000000-2000000,10.99,6915,94.4179320318149
434570,Blood and Bacon,2016-02-01,1,Big Corporation,Grunge Games LTD,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,"['Action', 'Adventure', 'Casual']",Gore;Funny;Horror,36,16822,995,1203,140,500000-1000000,0.79,17817,94.41544592243363
264380,Narcissu 1st & 2nd,2015-04-24,1,stage-nana,Sekai Project,windows;mac;linux,0,Single-player;Steam Achievements,['Indie'],Visual Novel;Anime;Free to Play,5,2854,169,5,10,200000-500000,0.0,3023,94.40952695997353
57300,Amnesia: The Dark Descent,2010-09-08,1,Frictional Games,Frictional Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Includes level editor;Commentary available,"['Action', 'Adventure', 'Indie']",Horror;First-Person;Atmospheric,18,20222,1199,173,41,2000000-5000000,14.99,21421,94.40268895009571
6000,STAR WARS™ Republic Commando™,2009-07-08,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows,0,Single-player;Multi-player;Local Multi-Player;Steam Cloud,['Action'],Star Wars;Action;FPS,0,6392,379,369,265,1000000-2000000,7.19,6771,94.4025993206321
481510,Night in the Woods,2017-02-21,1,Infinite Fall,Finji,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support,['Adventure'],Story Rich;Atmospheric;Great Soundtrack,31,6770,402,0,0,200000-500000,14.99,7172,94.39486893474623
266210,One Way Heroics,2014-02-28,1,Smoking WOLF,AGM PLAYISM,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"['Indie', 'RPG']",RPG;Rogue-like;Indie,59,3349,199,547,718,200000-500000,2.29,3548,94.391206313416
200710,Torchlight II,2012-09-20,1,Runic Games,Runic Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"['Action', 'Adventure', 'Indie', 'RPG']",RPG;Action RPG;Hack and Slash,119,29539,1757,1037,508,2000000-5000000,14.99,31296,94.38586400817995
712840,King Exit,2017-10-19,1,深爪貴族,Paradise Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Sexual Content;Nudity;RPG,0,2135,127,83,116,100000-200000,1.59,2262,94.38549955791335
346560,Hero of the Kingdom II,2015-02-20,1,Lonely Troops,Lonely Troops,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Casual', 'Indie', 'RPG']",Adventure;Casual;Indie,48,1409,84,402,402,50000-100000,5.59,1493,94.37374413931681
3480,Peggle Deluxe,2007-03-06,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Single-player,['Casual'],Casual;Puzzle;Arcade,0,1106,66,214,254,200000-500000,4.25,1172,94.36860068259386
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2009-06-16,1,Bethesda Game Studios,Bethesda Softworks,windows,0,Single-player;Steam Cloud,['RPG'],Open World;RPG;Fantasy,0,13827,826,1307,630,1000000-2000000,12.99,14653,94.3629290930185
248610,Door Kickers,2014-10-20,1,KillHouse Games,KillHouse Games,windows;mac;linux,0,Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,"['Action', 'Indie', 'Simulation', 'Strategy']",Tactical;Strategy;Top-Down,43,5834,349,366,483,500000-1000000,14.99,6183,94.35549086204108
537110,Angels of Death,2016-12-19,1,Vaka Game Magazine;Makoto Sanada,Vaka Game Magazine;AGM PLAYISM,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,"['Adventure', 'Indie', 'RPG']",RPGMaker;Anime;Indie,0,1935,116,24,24,50000-100000,6.99,2051,94.34422233057045
264710,Subnautica,2018-01-23,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,"['Adventure', 'Indie']",Survival;Open World;Exploration,17,90155,5413,1446,937,2000000-5000000,19.49,95568,94.33597019922986
335000,Tormentum - Dark Sorrow,2015-03-04,1,OhNoo Studio,OhNoo Studio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Casual', 'Indie']",Point & Click;Adventure;Dark Fantasy,34,1824,110,255,255,50000-100000,9.29,1934,94.31230610134436
98800,Dungeons of Dredmor,2011-07-13,1,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards,"['Casual', 'Indie', 'RPG']",Rogue-like;Turn-Based;RPG,124,3879,235,800,1302,500000-1000000,3.49,4114,94.2877977637336
207170,Legend of Grimrock,2012-04-11,1,Almost Human Games,Almost Human Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,"['Adventure', 'Indie', 'RPG']",Dungeon Crawler;RPG;Indie,40,4420,268,314,362,500000-1000000,10.99,4688,94.28327645051195
332200,Axiom Verge,2015-05-14,1,Thomas Happ Games LLC,Thomas Happ Games LLC,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure', 'Indie']",Metroidvania;Pixel Graphics;Platformer,29,3084,187,377,492,100000-200000,14.99,3271,94.28309385509019
32470,STAR WARS™ Empire at War - Gold Pack,2010-05-25,1,Petroglyph,LucasArts;Lucasfilm;Disney Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Cloud,['Strategy'],Strategy;Star Wars;RTS,0,6526,396,395,219,1000000-2000000,15.49,6922,94.27911008379081
300570,Infinifactory,2015-06-30,1,Zachtronics,Zachtronics,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,"['Indie', 'Simulation']",Puzzle;Indie;Building,22,1511,92,1094,1901,200000-500000,18.99,1603,94.26076107298815
927890,Hentai Girl Linda,2018-12-07,1,GirlGame,GirlGame,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Casual', 'Indie', 'RPG', 'Simulation']",Sexual Content;Nudity;Anime,100,1476,90,31,31,50000-100000,0.79,1566,94.25287356321839
428550,Momodora: Reverie Under The Moonlight,2016-03-04,1,Bombservice,AGM PLAYISM,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Adventure', 'Indie']",Pixel Graphics;Metroidvania;Female Protagonist,9,5904,363,134,192,200000-500000,6.99,6267,94.2077549066539
382490,Relic Hunters Zero,2015-08-18,1,Rogue Snail,Rogue Snail,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,"['Action', 'Free to Play', 'Indie']",Free to Play;Pixel Graphics;Action,44,5715,352,147,141,500000-1000000,0.0,6067,94.1981209823636
107600,Waves,2011-11-16,1,Squid In A Box Ltd,Squid In A Box Ltd,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,"['Action', 'Casual', 'Indie']",Indie;Twin Stick Shooter;Action,54,974,60,11,11,100000-200000,3.99,1034,94.1972920696325
888090,TREE,2018-08-13,1,The Strangers,The Strangers,windows,0,Single-player;Steam Achievements,"['Casual', 'Free to Play', 'Indie']",Free to Play;Indie;Casual,3,1119,69,0,0,50000-100000,0.0,1188,94.1919191919192
274520,Darkwood,2017-08-17,1,Acid Wizard Studio,Acid Wizard Studio,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,"['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG']",Horror;Survival;Top-Down,15,3856,238,417,417,200000-500000,11.99,4094,94.1866145578896
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,2016-07-18,1,SANDLOT,D3 PUBLISHER,windows,12,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,['Action'],Action;Third-Person Shooter;Co-op,51,4325,267,915,1708,200000-500000,15.49,4592,94.18554006968641
291860,Pit People®,2018-03-02,1,The Behemoth,The Behemoth,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Indie', 'RPG', 'Strategy']",Strategy;Funny;Turn-Based Combat,27,5027,311,327,388,200000-500000,15.49,5338,94.1738478831023
322770,Vanishing Realms™,2016-04-05,1,Indimo Labs LLC,Indimo Labs LLC,windows,0,Single-player;Steam Achievements;VR Support,"['Action', 'Adventure', 'RPG', 'Early Access']",Early Access;RPG;Adventure,9,2132,132,0,0,100000-200000,15.49,2264,94.1696113074205
588690,"Peace, Death!",2017-03-24,1,AZAMATIKA,AZAMATIKA,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Casual', 'Indie', 'Simulation']",Indie;Casual;Simulation,126,1000,62,346,346,20000-50000,3.59,1062,94.16195856873823
637850,Confess My Love,2017-05-27,1,LR Studio,LR Studio,windows,0,Single-player;Steam Achievements;Partial Controller Support,"['Adventure', 'Free to Play', 'Indie', 'RPG']",Free to Play;RPG;Anime,21,3357,209,308,308,200000-500000,0.0,3566,94.13909141895681
220700,RPG Maker VX Ace,2012-12-10,1,KADOKAWA,Degica,windows,0,Steam Trading Cards;Steam Workshop,"['Design & Illustration', 'Web Publishing']",Game Development;RPG;RPGMaker,0,3372,210,405,465,500000-1000000,52.99,3582,94.13735343383584
636480,Ravenfield,2017-05-18,1,SteelRaven7,SteelRaven7,windows;mac;linux,0,Single-player;Steam Workshop;Partial Controller Support;Includes level editor,"['Action', 'Indie', 'Early Access']",Early Access;FPS;War,0,9119,569,2095,2773,200000-500000,10.99,9688,94.12675474814203
370280,Season of 12 Colors,2016-03-14,1,橘子班,NVLMaker,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"['Adventure', 'Casual', 'Indie']",Indie;Casual;Visual Novel,5,1360,85,796,796,20000-50000,1.99,1445,94.11764705882352
310080,Hatoful Boyfriend,2014-09-04,1,Mediatonic;Hato Moa;The Irregular Corporation,Devolver Digital,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,"['Casual', 'Indie', 'Simulation']",Visual Novel;Anime;Dating Sim,16,5235,328,622,245,200000-500000,6.99,5563,94.10390077296424
744190,Rusty Lake Paradise,2018-01-11,1,Rusty Lake,Rusty Lake,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Indie;Adventure;Puzzle,50,1004,63,274,328,50000-100000,2.89,1067,94.09559512652295
448370,IS Defense,2016-04-19,1,Destructive Creations,Destructive Creations,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Indie']",Action;Indie;Shooter,39,1003,63,0,0,20000-50000,4.12,1066,94.09005628517824
7760,X-COM: UFO Defense,2008-09-04,1,"MicroProse Software, Inc",2K,windows,0,Single-player,['Strategy'],Strategy;Classic;Turn-Based Strategy,0,2165,136,2235,2224,1000000-2000000,2.99,2301,94.08952629291612
375480,Chronicon,2015-07-28,1,Subworld,Subworld,windows;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",Early Access;RPG;Loot,105,1209,76,0,0,50000-100000,7.19,1285,94.08560311284046
533300,Zup!,2016-10-04,1,Quiet River,Quiet River,windows,0,Single-player;Steam Achievements;Steam Trading Cards,"['Casual', 'Indie']",Casual;Indie;Puzzle,118,5810,366,237,241,100000-200000,0.79,6176,94.0738341968912
72850,The Elder Scrolls V: Skyrim,2011-11-10,1,Bethesda Game Studios,Bethesda Softworks,windows,16,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,['RPG'],Open World;RPG;Fantasy,75,237303,14951,7089,3885,10000000-20000000,9.99,252254,94.0730374939545
311690,Enter the Gungeon,2016-04-05,1,Dodge Roll,Devolver Digital,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,"['Action', 'Adventure', 'Indie']",Bullet Hell;Pixel Graphics;Rogue-like,54,24947,1573,1625,1060,1000000-2000000,10.99,26520,94.06862745098039
2990,FlatOut 2™,2006-12-21,1,Bugbear Entertainment,Strategy First,windows,0,Single-player,['Racing'],Racing;Destruction;Multiplayer,0,5438,343,293,351,500000-1000000,5.99,5781,94.06677045493859
546390,Brief Karate Foolish,2016-11-18,1,D.C.S,Henteko Doujin,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Partial Controller Support,"['Action', 'Casual', 'Free to Play', 'Indie']",Psychological Horror;Free to Play;Sexual Content,0,2027,128,5,8,100000-200000,0.0,2155,94.06032482598607
365300,Transmissions: Element 120,2016-06-16,1,Shokunin;Thomas M. Visser;Vincent Thiele,Self Published,windows;linux,0,Single-player;Steam Achievements;Captions available;VR Support;Partial Controller Support;Steam Cloud,"['Action', 'Free to Play', 'Indie']",Free to Play;Action;Shooter,11,7916,501,84,90,500000-1000000,0.0,8417,94.04776048473327
230290,Universe Sandbox ²,2015-08-24,1,Giant Army,Giant Army,windows;mac;linux,0,Single-player;Partial Controller Support,"['Casual', 'Indie', 'Simulation', 'Early Access']",Early Access;Space;Sandbox,0,5918,377,120,150,200000-500000,19.49,6295,94.0111199364575
795100,Friday the 13th: Killer Puzzle,2018-04-12,1,Blue Wizard Digital,Blue Wizard Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,"['Violent', 'Gore', 'Casual', 'Free to Play', 'Indie', 'Strategy']",Free to Play;Violent;Gore,60,2917,188,66,55,200000-500000,0.0,3105,93.94524959742351
220440,DmC: Devil May Cry,2013-01-24,1,Ninja Theory,Capcom,windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure']",Action;Hack and Slash;Great Soundtrack,58,14820,956,533,558,1000000-2000000,23.99,15776,93.94016227180528
569860,Thimbleweed Park™,2017-03-30,1,Terrible Toybox,Terrible Toybox,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,"['Adventure', 'Indie']",Adventure;Point & Click;Pixel Graphics,33,1949,126,778,965,100000-200000,14.99,2075,93.92771084337349
238210,System Shock 2,2013-05-10,1,Irrational Games;Looking Glass Studios,Nightdive Studios,windows;mac,0,Single-player;Co-op;Steam Trading Cards,"['Action', 'RPG']",RPG;Cyberpunk;Horror,0,4227,274,256,404,500000-1000000,6.99,4501,93.9124638969118
385800,NEKOPARA Vol. 0,2015-08-17,1,NEKO WORKs,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Sexual Content', 'Nudity', 'Casual', 'Indie']",Anime;Nudity;Sexual Content,13,11781,765,430,146,500000-1000000,1.99,12546,93.90243902439023
204530,Infested Planet,2014-03-06,1,Rocket Bear Games,Rocket Bear Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Indie', 'Strategy']",Strategy;Action;Tower Defense,36,1954,127,2974,2974,200000-500000,11.39,2081,93.89716482460355
253030,Race The Sun,2013-12-09,1,Flippfly LLC,Flippfly LLC,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,"['Action', 'Indie', 'Racing']",Racing;Indie;Singleplayer,25,5258,343,172,219,500000-1000000,6.99,5601,93.87609355472237
342580,12 Labours of Hercules,2015-03-23,1,Jetdogs Studios;Zoom Out Games,Jetdogs Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Casual', 'Strategy']",Casual;Time Management;Strategy,22,2391,156,298,349,100000-200000,1.99,2547,93.87514723203769
380,Half-Life 2: Episode One,2006-06-01,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,['Action'],FPS;Action;Sci-fi,13,7908,517,281,184,5000000-10000000,5.79,8425,93.86350148367953
257850,Hyper Light Drifter,2016-03-31,1,Heart Machine,Heart Machine,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"['Action', 'Adventure', 'Indie', 'RPG']",Pixel Graphics;Great Soundtrack;Atmospheric,23,11027,721,275,354,500000-1000000,14.99,11748,93.86278515491998
471710,Rec Room,2016-06-28,1,Against Gravity®,Against Gravity®,windows,0,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support;SteamVR Collectibles;Includes level editor,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Sports', 'Early Access']",Early Access;VR;Free to Play,0,3431,225,54,78,200000-500000,0.0,3656,93.8457330415755
251470,TowerFall Ascension,2014-03-11,1,Matt Thorson,Matt Makes Games Inc.,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,"['Action', 'Indie']",Local Multiplayer;Indie;Action,30,1906,125,337,340,200000-500000,10.99,2031,93.84539635647464
435120,Rusty Lake Hotel,2016-01-29,1,Rusty Lake,Rusty Lake,windows;mac,0,Single-player;Steam Trading Cards,"['Adventure', 'Indie']",Indie;Adventure;Puzzle,0,1311,86,205,205,100000-200000,1.59,1397,93.84395132426629
217200,Worms Armageddon,2013-03-19,1,Team17 Digital Ltd,Team17 Digital Ltd,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen,['Strategy'],Strategy;Multiplayer;Classic,0,3517,231,246,470,500000-1000000,10.99,3748,93.8367129135539
570840,家有大貓 Nekojishi,2017-11-12,1,Team Nekojishi,Orange Juice Dog,windows;mac;linux,0,Single-player;Steam Achievements,['Free to Play'],Free to Play;Visual Novel;Sexual Content,24,2512,165,351,351,200000-500000,0.0,2677,93.83638401195368
48000,LIMBO,2011-08-02,1,Playdead,Playdead,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,"['Adventure', 'Indie']",Indie;Platformer;Puzzle,13,30321,1994,117,127,2000000-5000000,6.99,32315,93.82949094847594
552590,The Sexy Brutale,2017-04-11,1,Cavalier Game Studios;Tequila Works,Tequila Works,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Adventure;Indie;Puzzle,18,1945,128,147,260,100000-200000,14.99,2073,93.82537385431742
17460,Mass Effect,2008-12-19,1,BioWare,Electronic Arts,windows,0,Single-player,"['Action', 'RPG']",RPG;Sci-fi;Story Rich,0,10107,666,612,633,1000000-2000000,7.99,10773,93.81787802840435
440,Team Fortress 2,2007-10-10,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,"['Action', 'Free to Play']",Free to Play;Multiplayer;FPS,520,515879,34036,8495,623,20000000-50000000,0.0,549915,93.81067983233773
395170,DISTRAINT: Deluxe Edition,2015-10-21,1,Jesse Makkonen,Jesse Makkonen,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,"['Adventure', 'Casual', 'Indie']",Indie;Horror;Psychological Horror,16,6830,451,228,242,2000000-5000000,3.99,7281,93.80579590715561
564710,Soda Dungeon,2017-02-06,1,AN Productions;Poxpower,Armor Games Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud,"['Casual', 'Free to Play', 'RPG']",Free to Play;RPG;Pixel Graphics,24,3624,240,751,619,500000-1000000,0.0,3864,93.7888198757764
733990,I Can't Believe It's Not Gambling,2017-12-11,1,Mutant Entertainment Studios,Mutant Entertainment Studios,windows;linux,0,Single-player;Steam Achievements;Steam Cloud,"['Casual', 'Indie', 'Simulation']",Casual;Simulation;Indie,29,1024,68,350,350,50000-100000,0.79,1092,93.77289377289377
20820,Shatter,2010-03-15,1,Sidhe,PikPok,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,"['Action', 'Indie']",Great Soundtrack;Indie;Arcade,30,963,64,31,51,200000-500000,6.99,1027,93.7682570593963
589590,Kindergarten,2017-06-15,1,Con Man Games;SmashGames,SmashGames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,"['Violent', 'Gore', 'Adventure', 'Indie']",Funny;Gore;Violent,8,2076,138,114,127,100000-200000,3.99,2214,93.76693766937669
40950,Stronghold HD,2013-10-21,1,FireFly Studios,FireFly Studios,windows,0,Single-player;Multi-player;Steam Trading Cards;Steam Cloud;Includes level editor,"['Simulation', 'Strategy']",Strategy;Medieval;Base-Building,0,2992,199,473,665,1000000-2000000,3.49,3191,93.76371043560012
227080,Papo & Yo,2013-04-18,1,Minority Media Inc.,Minority Media,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,"['Adventure', 'Indie']",Indie;Adventure;Puzzle,10,2405,160,158,158,200000-500000,10.99,2565,93.76218323586744
261180,Lethal League,2014-08-27,1,Team Reptile,Team Reptile,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Indie', 'Sports']",Fighting;Local Multiplayer;2D Fighter,23,5196,346,258,236,500000-1000000,9.99,5542,93.75676651028509
731490,Crash Bandicoot™ N. Sane Trilogy,2018-06-29,1,Vicarious Visions;Iron Galaxy,Activision,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,['Action'],3D Platformer;Remake;Classic,74,3555,237,3530,3530,100000-200000,34.99,3792,93.75
6860,Hitman: Blood Money,2007-03-15,1,Io-Interactive A/S,Io-Interactive A/S,windows,18,Single-player,['Action'],Stealth;Action;Third Person,0,5864,391,435,365,1000000-2000000,9.29,6255,93.74900079936052
525510,"Guns, Gore and Cannoli 2",2018-03-02,1,Crazy Monkey Studios;Claeysbrothers,Crazy Monkey Studios,windows;mac,0,Single-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Stats,"['Action', 'Adventure']",Action;Side Scroller;Adventure,20,1121,75,213,267,100000-200000,10.29,1196,93.72909698996655
345820,Shantae and the Pirate's Curse,2015-04-23,1,WayForward,WayForward,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Adventure', 'Indie', 'RPG']",Female Protagonist;Platformer;Metroidvania,44,1477,99,434,550,200000-500000,14.99,1576,93.71827411167513
4560,Company of Heroes - Legacy Edition,2007-07-17,1,Relic Entertainment,SEGA,windows,18,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,"['Violent', 'Action', 'Strategy']",Strategy;RTS;World War II,0,4772,320,175,186,2000000-5000000,0.0,5092,93.71563236449332
286260,fault - milestone one,2014-12-15,1,ALICE IN DISSONANCE,Sekai Project,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,['Adventure'],Visual Novel;Anime;Female Protagonist,12,2436,164,367,613,200000-500000,10.99,2600,93.6923076923077
38410,Fallout 2: A Post Nuclear Role Playing Game,2009-08-19,1,Black Isle Studios,Bethesda Softworks,windows,16,Single-player;Steam Cloud,['RPG'],RPG;Post-apocalyptic;Classic,0,4758,321,86,77,1000000-2000000,7.99,5079,93.67985823981098
95400,ibb & obb,2014-05-26,1,Sparpweed;Codeglue,Sparpweed,windows;mac;linux,0,Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure', 'Indie']",Co-op;Puzzle;Local Co-Op,10,3125,211,255,284,200000-500000,8.99,3336,93.67505995203837
241600,Rogue Legacy,2013-06-27,1,Cellar Door Games,Cellar Door Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Adventure', 'Indie', 'RPG']",Rogue-like;Platformer;Indie,29,13854,936,769,644,1000000-2000000,10.99,14790,93.67139959432048
268130,Heat Signature,2017-09-21,1,Suspicious Developments,Suspicious Developments,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,"['Action', 'Adventure', 'Indie', 'Strategy']",Indie;Space;Action,70,3247,220,693,790,200000-500000,10.99,3467,93.65445630227863
